lista;item;Proyecto;item_exp;cond;bias;nombre_rol;errores;rt_determinante;rt_nombre;rt_verbo1;rt_pronombre;rt_verbo2;q_words;q_words_SN_Pron;respeta_verbo_verbo;respeta_sust_sust;oracion;palabra_0;palabra_1;palabra_2;palabra_3;palabra_4;palabra_5;palabra_6;palabra_7;palabra_8;palabra_9;palabra_10;palabra_11;palabra_12;palabra_13;palabra_14;part;ID;edad;id_genero;nacionalidad;residencia;lengua;educacion;lentes;mail;tiempo_total
B;76;Bologna;gender28;g_fem;fem;fonoaudiólogo;no;715;1021;940;842;586;13;5;no;no;"Le ginecologhe visitano le pazienti con le infermiere; tutte controllano la crescita fetale.";715;1021;940;836;701;846;901;1344;842;586;802;1894;1201;;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
C;90;todos;gender42;g_fem;masc;minero;no;554;675;1093;775;687;14;4;no;no;"Le minatrici lavorano in condizioni pericolose; tutte chiedono migliori condizioni di lavoro nella miniera.";554;675;1093;852;873;519;775;687;933;649;1025;585;1258;1031.0;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;107;Bologna;gender59;g_masc;masc;diputado;si;465;891;772;748;714;14;6;no;no;"I deputati presentano un nuovo decreto sui trasporti; tutti sperano in una approvazione unanime.";465;891;772;930;890;732;754;1239;748;714;655;658;916;653.0;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;95;Alberta_Bologna;gender47;g_masc;masc;carnicero;si;468;1095;651;873;948;13;5;si;si;"I macellai preparano tagli d' agnello fresco; tutti espongono i nuovi prezzi in vetrina.";468;1095;651;938;1207;1036;961;873;948;741;830;735;589;545.0;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;83;todos;gender35;g_masc;masc;ingeniero;no;628;1099;1176;797;863;13;5;no;no;"Gli ingegneri predispongono il progetto del tunnel; tutti considerano la resistenza del terreno.";628;1099;1176;676;833;718;645;797;863;939;700;843;1157;;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;51;todos;gender3;g_masc;fem;astrólogo;si;586;1237;1113;653;822;14;4;si;si;"Gli astrologi analizzano le carte astrali; tutti formulano la loro predizione per l' anno futuro.";586;1237;1113;854;1008;2654;653;822;813;1233;817;1243;1880;583.0;629.0;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;58;todos;gender10;g_fem;fem;partero;si;494;713;732;744;705;13;4;no;no;"Le ostetriche assistono molte partorienti in ospedale; tutte supportano le madri in travaglio.";494;713;732;1091;1381;526;511;744;705;665;782;822;956;;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;106;Bologna;gender58;g_fem;masc;ministro;no;481;577;596;801;1055;15;5;si;si;"I ministri partecipano alla riunione di gabinetto; tutti attendevano impazientemente dei dettagli sul piano economico.";481;577;596;1218;1151;631;661;801;1055;972;976;629;937;790.0;572.0;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;62;todos;gender14;g_fem;fem;maestro;si;425;757;836;893;1055;14;5;si;si;"Le maestre comprano dei quaderni a quadretti; tutte preparano il necessario per le lezioni.";425;757;836;1330;914;1340;570;893;1055;609;878;569;693;642.0;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;82;todos;gender34;g_fem;masc;carpintero;si;490;913;565;652;670;13;6;si;si;"Le architette progettano strutture innovative per le aziende; tutte rispettano le norme ambientali.";490;913;565;1504;708;612;1451;735;652;670;696;656;759;;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;63;todos;gender15;g_masc;fem;pedeagogo;si;419;1179;682;1130;1198;13;5;no;no;"I portinai svolgono solertemente il loro lavoro; tutti puliscono con attenzione le scale.";419;1179;682;1372;725;604;1448;1130;1198;1254;834;576;623;;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
C;67;Alberta_Bologna;gender19;g_masc;fem;dermatólogo;si;432;627;525;784;1024;13;6;si;si;"I parrucchieri acconciano i lunghi capelli della cliente; tutti utilizzano costosi prodotti biologici.";432;627;525;555;563;632;583;1075;784;1024;857;820;692;;;3;3;41;F;ITA;xxx;ITALIANAO;PHD;NO;xxx;462034
D;105;Bologna;gender57;g_masc;masc;ministro;si;542;1347;528;731;939;15;5;si;si;"I ministri partecipano alla riunione di gabinetto; tutti attendevano impazientemente dei dettagli sul piano economico.";542;1347;528;543;706;630;884;731;939;897;1901;767;1803;565.0;795.0;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;84;todos;gender36;g_fem;masc;ingeniero;si;499;629;989;693;842;13;5;no;no;"Le ingegnere predispongono il progetto del tunnel; tutte considerano la resistenza del terreno.";499;629;989;766;835;888;1233;693;842;603;847;1208;783;;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;68;Alberta_Bologna;gender20;g_fem;fem;dermatólogo;no;421;1045;1041;740;808;13;6;si;si;"Le parrucchiere acconciano i lunghi capelli della cliente; tutte utilizzano costosi prodotti biologici.";421;1045;1041;712;685;711;574;537;740;808;883;783;583;;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;57;todos;gender9;g_masc;fem;partero;no;413;790;698;701;1293;13;5;no;no;"Gli ostetrici assistono molte partorienti in ospedale; tutti supportano le madri in travaglio.";413;790;698;1055;867;586;562;701;1293;1823;1238;840;904;;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;64;todos;gender16;g_fem;fem;pedeagogo;si;613;672;1268;766;1046;13;5;no;no;"Le portinaie svolgono solertemente il loro lavoro; tutte puliscono con attenzione le scale.";613;672;1268;1123;639;1000;708;766;1046;870;815;1181;653;;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;61;todos;gender13;g_masc;fem;maestro;no;447;1450;576;815;693;14;5;si;si;"I maestri comprano dei quaderni a quadretti; tutti preparano il necessario per le lezioni.";447;1450;576;1146;636;840;749;815;693;582;717;585;503;703.0;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;108;Bologna;gender60;g_fem;masc;diputado;no;488;704;650;643;848;14;6;no;no;"Le deputate presentano un nuovo decreto sui trasporti; tutte sperano in una approvazione unanime.";488;704;650;599;636;794;933;670;643;848;607;566;685;600.0;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;89;todos;gender41;g_masc;masc;minero;si;398;1096;758;1237;765;14;4;no;no;"I minatori lavorano in condizioni pericolose; tutti chiedono migliori condizioni di lavoro nella miniera.";398;1096;758;525;693;856;1237;765;1369;613;729;678;864;594.0;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;96;Alberta_Bologna;gender48;g_fem;masc;carnicero;si;386;442;1069;620;1089;13;5;si;si;"Le macellaie preparano tagli d' agnello fresco; tutte espongono i nuovi prezzi in vetrina.";386;442;1069;783;547;759;873;620;1089;688;1309;675;791;596.0;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;52;todos;gender4;g_fem;fem;astrólogo;si;705;1959;727;647;729;14;4;si;si;"Le astrologhe analizzano le carte astrali; tutte formulano la loro predizione per l' anno futuro.";705;1959;727;717;783;810;647;729;1043;691;812;571;1057;509.0;758.0;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
D;81;todos;gender33;g_masc;masc;carpintero;si;633;654;680;847;645;13;6;si;si;"Gli architetti progettano strutture innovative per le aziende; tutti rispettano le norme ambientali.";633;654;680;564;580;495;918;896;847;645;726;702;711;;;4;4;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;383736
A;56;todos;gender8;g_fem;fem;secretario;si;520;1232;923;1233;1479;13;5;no;no;"Le segretarie ricevono la documentazione ufficiale; tutte raccolgono le firme in ogni dipartimento.";520;1232;923;792;1366;1387;1233;1479;1109;580;1138;853;604;;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;88;todos;gender40;g_fem;masc;mecánico;no;383;749;932;1334;735;13;5;no;no;"Le meccaniche riparano il motore dell' automobile; tutte offrono un servizio eccellente al cliente.";383;749;932;492;754;608;471;1334;735;658;740;974;1483;562.0;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;75;Bologna;gender27;g_masc;fem;fonoaudiólogo;si;16031;659;839;797;862;13;5;no;no;"I ginecologi visitano le pazienti con le infermiere; tutti monitorano la crescita fetale.";16031;659;839;593;759;816;1438;814;797;862;978;707;1300;;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;78;todos;gender30;g_fem;masc;camionero;no;406;730;650;645;647;15;4;si;si;"Le giardiniere curano il parco pubblico; tutte potano gli alberi malati alla fine dell' inverno.";406;730;650;692;716;658;645;647;861;620;675;858;856;1050.0;570.0;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;49;todos;gender1;g_masc;fem;enfermero;si;406;804;764;592;670;14;7;si;si;"Gli infermieri controllano i turni di guardia del giorno; tutti trovano degli errori madornali.";406;804;764;585;1051;764;602;536;609;592;670;1224;617;728.0;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;104;Bologna;gender56;g_fem;masc;plomero;si;420;720;573;731;632;13;5;si;si;"Le idrauliche riparano la principale tubatura rotta; tutte ripristinano l' acqua corrente nell' intero edificio.";420;720;573;1071;820;579;709;731;632;1795;1201;560;549;552.0;598.0;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;85;todos;gender37;g_masc;masc;bombero;si;437;883;564;1067;925;14;6;si;si;"I becchini preparano la salma per la sepoltura; tutti aspettano in un rigoroso silenzio.";437;883;564;823;783;673;585;533;1067;925;641;1335;671;600.0;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;91;todos;gender43;g_masc;masc;marinero;si;432;989;767;683;1101;13;5;no;no;"I marinai ricevono le indicazioni dal porto; tutti manovrano con destrezza la nave.";432;989;767;517;522;648;968;683;1101;1353;535;762;553;;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;59;todos;gender11;g_masc;fem;psicólogo;si;450;647;666;660;642;13;4;no;no;"Gli psicologi organizzano una seduta collettiva; tutti offrono consulenza gratuita negli ambulatori pubblici.";450;647;666;825;1484;594;660;642;605;949;1170;580;669;;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;79;todos;gender31;g_masc;masc;herrero;si;557;941;650;1092;813;14;5;no;no;"I fabbri saldano la nuova rete metallica; tutti eseguono un lavoro di squadra eccellente.";557;941;650;773;1003;641;549;1092;813;746;544;1334;677;727.0;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
A;54;todos;gender6;g_fem;fem;bibliotecario;si;368;737;809;614;1123;14;5;si;si;"Le bibliotecarie organizzano alfabeticamente i nuovi libri; tutte eseguono il lavoro in modo rigoroso.";368;737;809;1466;654;779;568;614;1123;556;738;899;748;933.0;;5;5;41;F;ITA;xxx;ITALIANO;PHD;NO;xxx;371846
B;76;Bologna;gender28;g_fem;fem;fonoaudiólogo;si;389;908;663;1311;802;13;5;no;no;"Le ginecologhe visitano le pazienti con le infermiere; tutte controllano la crescita fetale.";389;908;663;711;783;710;1010;608;1311;802;1188;593;849;;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;77;todos;gender29;g_masc;masc;camionero;si;372;636;694;737;774;15;4;si;si;"I giardinieri curano il parco pubblico; tutti potano gli alberi malati alla fine dell' inverno.";372;636;694;621;745;1154;737;774;667;642;768;921;1027;593.0;1348.0;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;103;Bologna;gender55;g_masc;masc;plomero;si;450;818;652;753;663;13;5;si;si;"Gli idraulici riparano la principale tubatura rotta; tutti ripristinano l' acqua corrente nell' intero edificio.";450;818;652;543;622;800;1295;753;663;587;842;1106;617;526.0;573.0;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;53;todos;gender5;g_masc;fem;bibliotecario;no;388;918;703;576;505;14;5;si;si;"I bibliotecari organizzano alfabeticamente i nuovi libri; tutti eseguono il lavoro in modo rigoroso.";388;918;703;640;534;522;634;576;505;567;530;597;686;561.0;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;92;todos;gender44;g_fem;masc;marinero;si;372;1039;696;719;680;13;5;no;no;"Le marinaie ricevono le indicazioni dal porto; tutte manovrano con destrezza la nave.";372;1039;696;526;913;688;576;719;680;909;688;518;747;;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;55;todos;gender7;g_masc;fem;secretario;si;745;925;722;619;662;13;4;no;no;"I segretari ricevono la documentazione ufficiale; tutti raccolgono le firme in ogni dipartimento.";745;925;722;649;701;629;619;662;656;680;676;582;716;;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;50;todos;gender2;g_fem;fem;enfermero;no;344;752;709;616;878;14;7;si;si;"Le infermiere controllano i turni di guardia del giorno; tutte trovano degli errori madornali.";344;752;709;624;595;634;784;603;550;616;878;1095;666;635.0;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;80;todos;gender32;g_fem;masc;herrero;si;403;951;672;1023;721;14;5;no;no;"Le fabbre saldano la nuova rete metallica; tutte eseguono un lavoro di squadra eccellente.";403;951;672;1301;906;1058;633;1023;721;576;556;893;575;718.0;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;87;todos;gender39;g_masc;masc;mecánico;si;433;609;642;767;653;13;5;no;no;"I meccanici riparano il motore dell' automobile; tutti offrono un servizio eccellente al cliente.";433;609;642;671;985;614;729;767;653;608;841;1250;1260;521.0;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;86;todos;gender38;g_fem;masc;bombero;si;372;1048;698;602;675;14;6;si;si;"Le becchine preparano la salma per la sepoltura; tutte aspettano in un rigoroso silenzio.";372;1048;698;975;637;756;643;628;602;675;680;670;1252;1136.0;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
B;60;todos;gender12;g_fem;fem;psicólogo;no;405;634;837;719;781;13;4;no;no;"Le psicologhe organizzano una seduta collettiva; tutte offrono consulenza gratuita negli ambulatori pubblici.";405;634;837;665;660;707;719;781;932;634;771;1034;667;;;6;6;41;SEMPRE IO;SEMPRE IO;xxx;SEMPRE IO;SEMPRE IO;SEMPRE IO;xxx;341244
C;58;todos;gender10;g_fem;fem;partero;no;488;879;717;945;972;13;4;no;no;"Le ostetriche assistono molte partorienti in ospedale; tutte supportano le madri in travaglio.";488;879;717;702;1051;454;829;945;972;619;606;710;1019;;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;62;todos;gender14;g_fem;fem;maestro;si;529;934;849;744;840;14;5;si;si;"Le maestre comprano dei quaderni a quadretti; tutte preparano il necessario per le lezioni.";529;934;849;1137;826;1167;1108;744;840;672;797;672;888;682.0;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;106;Bologna;gender58;g_fem;masc;ministro;no;549;1267;699;1484;812;15;5;si;si;"I ministri partecipano alla riunione di gabinetto; tutti attendevano impazientemente dei dettagli sul piano economico.";549;1267;699;728;733;816;713;1484;812;1797;1140;605;703;766.0;709.0;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;63;todos;gender15;g_masc;fem;pedeagogo;no;569;872;887;840;961;13;5;no;no;"I portinai svolgono solertemente il loro lavoro; tutti puliscono con attenzione le scale.";569;872;887;1814;757;803;802;840;961;980;777;721;656;;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;83;todos;gender35;g_masc;masc;ingeniero;no;455;917;1099;786;1017;13;5;no;no;"Gli ingegneri predispongono il progetto del tunnel; tutti considerano la resistenza del terreno.";455;917;1099;1059;663;909;678;786;1017;743;1046;755;628;;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;82;todos;gender34;g_fem;masc;carpintero;no;357;807;572;828;553;13;6;si;si;"Le architette progettano strutture innovative per le aziende; tutte rispettano le norme ambientali.";357;807;572;809;691;1063;572;650;828;553;651;752;837;;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;51;todos;gender3;g_masc;fem;astrólogo;no;331;774;609;838;703;14;4;si;si;"Gli astrologi analizzano le carte astrali; tutti formulano la loro predizione per l' anno futuro.";331;774;609;665;878;585;838;703;580;577;765;1311;733;657.0;788.0;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;95;Alberta_Bologna;gender47;g_masc;masc;carnicero;si;1049;1122;3289;874;1008;13;5;si;si;"I macellai preparano tagli d' agnello fresco; tutti espongono i nuovi prezzi in vetrina.";1049;1122;3289;1604;1635;495;1049;874;1008;770;763;659;1219;483.0;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;67;Alberta_Bologna;gender19;g_masc;fem;dermatólogo;no;576;729;922;636;637;13;6;si;si;"I parrucchieri acconciano i lunghi capelli della cliente; tutti utilizzano costosi prodotti biologici.";576;729;922;522;925;621;672;494;636;637;782;548;877;;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;90;todos;gender42;g_fem;masc;minero;no;499;890;1399;778;806;14;4;no;no;"Le minatrici lavorano in condizioni pericolose; tutte chiedono migliori condizioni di lavoro nella miniera.";499;890;1399;628;1269;572;778;806;679;683;833;637;914;1723.0;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
C;107;Bologna;gender59;g_masc;masc;diputado;no;1426;1960;826;1032;1215;14;6;no;no;"I deputati presentano un nuovo decreto sui trasporti; tutti sperano in una approvazione unanime.";1426;1960;826;757;598;661;1166;724;1032;1215;444;860;942;578.0;;7;7;23;Donna;Italiana;xxx;Italiano;Laura magistrale in giurisprudenza%2C in corso;no;xxx;598956
D;64;todos;gender16;g_fem;fem;pedeagogo;si;723;2738;963;1706;1279;13;5;no;no;"Le portinaie svolgono solertemente il loro lavoro; tutte puliscono con attenzione le scale.";723;2738;963;1818;1261;1306;797;1706;1279;1313;1371;1181;578;;;8;8;--;--;--;xxx;--;--;--;xxx;556717
D;57;todos;gender9;g_masc;fem;partero;si;736;3453;1413;778;982;13;5;no;no;"Gli ostetrici assistono molte partorienti in ospedale; tutti supportano le madri in travaglio.";736;3453;1413;947;987;863;748;778;982;1214;1034;1198;1391;;;8;8;--;--;--;xxx;--;--;--;xxx;556717
D;68;Alberta_Bologna;gender20;g_fem;fem;dermatólogo;si;494;1036;1451;996;1097;13;6;si;si;"Le parrucchiere acconciano i lunghi capelli della cliente; tutte utilizzano costosi prodotti biologici.";494;1036;1451;1165;1803;763;772;2129;996;1097;1145;1566;717;;;8;8;--;--;--;xxx;--;--;--;xxx;556717
D;84;todos;gender36;g_fem;masc;ingeniero;si;545;1019;1954;906;1007;13;5;no;no;"Le ingegnere predispongono il progetto del tunnel; tutte considerano la resistenza del terreno.";545;1019;1954;901;738;833;822;906;1007;944;1329;841;2046;;;8;8;--;--;--;xxx;--;--;--;xxx;556717
D;96;Alberta_Bologna;gender48;g_fem;masc;carnicero;si;707;1486;1509;645;892;13;5;si;si;"Le macellaie preparano tagli d' agnello fresco; tutte espongono i nuovi prezzi in vetrina.";707;1486;1509;1047;775;871;777;645;892;719;1061;791;1667;1261.0;;8;8;--;--;--;xxx;--;--;--;xxx;556717
